page_num,revision,table_sno,manufacturer_raw,manufacturer_clean,location_raw,location_clean,bis_registration_raw,bis_registration_clean,enlisted_capacity_raw,enlisted_capacity_clean,note,rev_rank,manufacturer_normalized
257,Revision - XXXVI,65,"HQ Lamps Plot No. 459-B, Sector - 53, Phase III,",HQ Lamps,"Plot No. 459-B, Sector - 53, Phase III","Plot No. 459-B, Sector - 53, Phase III",R-91014206,R-91014206,46.0,46.0,,36,HQ LAMPS
68,Revision-XLIII,6,"Gautam Solar Pvt. 7 KM Milestone, Tosham","Gautam Solar Pvt. 7 KM Milestone, Tosham",,,R-91017574,R-91017574,3224.0,3224.0,,43,GAUTAM SOLAR PRIVATE LIMITED
90,Revision-XLI,2,"MKTEK 6-16, 6/1/1 1-2,","MKTEK 6-16, 6/1/1 1-2",,,R-91017639,R-91017639,46.0,46.0,,41,"MKTEK 6-16, 6/1/1 1-2"
80,Revision-XLII,4,"Loom Solar Block Ala, Palwal",Loom Solar,"Block Ala, Palwal","Block Ala, Palwal",R-91017728,R-91017728,30.0,30.0,,42,LOOM SOLAR PRIVATE LIMITED
38,Revision- XLV,1,"Saatvik Solar Village Mohari, Tehisl-",Saatvik Solar,"Village Mohari, Tehisl","Village Mohari, Tehisl",R-91017981,R-91017981,3122.0,3122.0,,45,SAATVIK SOLAR INDUSTRIES PRIVATE LIMITED
40,Revision- XLV,5,EASTMAN GREEN KHASRA,EASTMAN GREEN,KHASRA,KHASRA,R-91019879,R-91019879,374.0,374.0,,45,GREENBRILLIANCE RENEWABLE ENERGY LLP
71,Revision-XLIII,9,"Jakson Engineers Plot No-25, Ecotech-III,",Jakson Engineers,"Plot No-25, Ecotech-III","Plot No-25, Ecotech-III",R-93005959,R-93005959,1209.0,1209.0,,43,JAKSON ENGINEERS LIMITED
50,Revision-XLIV,2,Matri Shree Techno Dhauha Mirpur Chunar,Matri Shree Techno Dhauha Mirpur Chunar,,,R-93006483,R-93006483,49.0,49.0,,44,MATRI SHREE TECHNO INDUSTRIES
201,Revision - XXXVI,12,"Alpex Solar Pvt. Ltd. Plot No. I-25 &I-26, UPSIDC, Site-5,",Alpex Solar Pvt. Ltd,"Plot No. I-25 &I-26, UPSIDC, Site-5","Plot No. I-25 &I-26, UPSIDC, Site-5",R-93007480,R-93007480,423.0,423.0,,36,ALPEX SOLAR PRIVATE LIMITED
167,Revision-XXXVII,10,"Ankur Traders D-130, B.S. Road,",Ankur Traders,"D-130, B.S. Road","D-130, B.S. Road",R-93009695,R-93009695,54.0,54.0,,37,ANKUR TRADERS
136,Revision-XXXVIII,18,"ADM Solar Plot No: 22/1, The Printer",ADM Solar,"Plot No: 22/1, The Printer","Plot No: 22/1, The Printer",R-93011576,R-93011576,514.0,514.0,,38,ADM SOLAR PRIVATE LIMITED
66,Revision-XLIII,2,"Bluebird Solar Plot No: 5, Ecotech-II,",Bluebird Solar,"Plot No: 5, Ecotech-II","Plot No: 5, Ecotech-II",R-93014680,R-93014680,819.0,819.0,,43,BLUEBIRD SOLAR PRIVATE LIMITED
95,Revision-XLI,12,"Integrated Plot No. 40, Sector -",Integrated,"Plot No. 40, Sector","Plot No. 40, Sector",R-93017612,R-93017612,284.0,284.0,,41,INTEGRATED BATTERIES INDIA PRIVATE LIMITED
167,Revision-XXXVII,11,"Fujiyama Plot No. 51,52 Sector-",Fujiyama,"Plot No. 51,52 Sector","Plot No. 51,52 Sector",R-93022209,R-93022209,355.0,355.0,,37,FUJIYAMA POWER SYSTEMS LIMITED
275,Revision - XXXVI,87,Easy Photo Voltech Khasra no 98 Sikhera road industraial,Easy Photo Voltech,Khasra no 98 Sikhera road industraial,Khasra no 98 Sikhera road industraial,R-93023272,R-93023272,81.0,81.0,,36,EASY PHOTO VOLTECH PRIVATE LIMITED
275,Revision - XXXVI,85,"KLK Ventures Pvt. Ltd.A52, Sector 58, Gautam Budha Nagar,",KLK Ventures Pvt. Ltd.A52,"Sector 58, Gautam Budha Nagar","Sector 58, Gautam Budha Nagar",R-93024279,R-93024279,33.0,33.0,,36,KLK VENTURES PRIVATE LIMITEDA52
100,Revision-XLI,16,"Avaada Electro Khasra No. 1145,",Avaada Electro,Khasra No. 1145,Khasra No. 1145,R-93030724,R-93030724,1311.0,1311.0,,41,AVAADA ELECTRO PRIVATE LIMITED
274,Revision - XXXVI,82,"Indosolar Limited 3c/1, Ecotech-II, Udyog Vihar, Greater","Indosolar Limited 3c/1, Ecotech-II, Udyog Vihar, Greater",,,R-93032344,R-93032344,1525.0,1525.0,,36,INDOSOLAR LIMITED
275,Revision - XXXVI,84,"BVG India Limited Plot No. 6, Sector Ecotech 8, Gautam",BVG India Limited,"Plot No. 6, Sector Ecotech 8, Gautam","Plot No. 6, Sector Ecotech 8, Gautam",R-93032417,R-93032417,367.0,367.0,,36,BVG INDIA LIMITED
148,Revision-XXXVIII,23,"Nextbrio Khajoor Gaon,",Nextbrio Khajoor Gaon,,,R-93035440,R-93035440,21.0,21.0,,38,NEXTBRIO KHAJOOR GAON
45,Revision- XLV,10,"Fujiyama Power 51,52,SECTOR-ECOTECH-","Fujiyama Power 51,52",SECTOR-ECOTECH,SECTOR-ECOTECH,R-93037940,R-93037940,355.0,355.0,,45,FUJIYAMA POWER SYSTEMS LIMITED
47,Revision- XLV,15,SAEL SOLAR MFG. VILLAGE HUKUMAT SINGH,SAEL SOLAR MFG,VILLAGE HUKUMAT SINGH,VILLAGE HUKUMAT SINGH,R-97001058,R-97001058,220.0,220.0,,45,SAEL SOLAR MFG PRIVATE LIMITED
242,Revision - XXXVI,46,"Inter Solar Systems Village Sundran, Derabassi, P.O –",Inter Solar Systems,"Village Sundran, Derabassi, P.O –","Village Sundran, Derabassi, P.O –",R-97001139,R-97001139,49.0,49.0,,36,INTER SOLAR SYSTEMS
